#Coverage	Number of genomic locations
1197.0	63.0
1198.0	39.0
1199.0	54.0
1200.0	47.0
1201.0	81.0
1202.0	38.0
1203.0	32.0
1204.0	42.0
1205.0	30.0
1206.0	60.0
1207.0	45.0
1208.0	71.0
1209.0	81.0
1210.0	142.0
1211.0	108.0
1212.0	94.0
1213.0	64.0
1214.0	86.0
1215.0	31.0
1216.0	74.0
1217.0	50.0
1218.0	41.0
1219.0	110.0
1220.0	41.0
1221.0	65.0
1222.0	49.0
1223.0	42.0
1224.0	37.0
1225.0	39.0
1226.0	33.0
1227.0	94.0
1228.0	113.0
1229.0	25.0
1230.0	74.0
1231.0	63.0
1232.0	93.0
1233.0	129.0
1234.0	43.0
1235.0	50.0
1236.0	111.0
1237.0	56.0
1238.0	66.0
1239.0	39.0
1240.0	18.0
1241.0	29.0
1242.0	65.0
1243.0	45.0
1244.0	23.0
1245.0	21.0
1246.0	29.0
1247.0	60.0
1248.0	41.0
1249.0	58.0
1250.0	45.0
1251.0	61.0
1252.0	46.0
1253.0	79.0
1254.0	101.0
1255.0	38.0
1256.0	103.0
1257.0	73.0
1258.0	146.0
1259.0	61.0
1260.0	126.0
1261.0	66.0
1262.0	189.0
1263.0	165.0
1264.0	47.0
1265.0	45.0
1266.0	135.0
1267.0	175.0
1268.0	78.0
1269.0	94.0
1270.0	74.0
1271.0	73.0
1272.0	120.0
1273.0	84.0
1274.0	37.0
1275.0	72.0
1276.0	166.0
1277.0	240.0
1278.0	154.0
1279.0	74.0
1280.0	45.0
1281.0	99.0
1282.0	119.0
1283.0	171.0
1284.0	122.0
1285.0	96.0
1286.0	103.0
1287.0	77.0
1288.0	103.0
1289.0	101.0
1290.0	128.0
1291.0	150.0
1292.0	189.0
1293.0	49.0
1294.0	66.0
1295.0	15.0
1296.0	33.0
1297.0	11.0
1298.0	16.0
1299.0	8.0
1300.0	26.0
1301.0	28.0
1302.0	19.0
1303.0	4.0
1304.0	10.0
1305.0	12.0
1306.0	4.0
1307.0	20.0
1308.0	9.0
1309.0	11.0
1310.0	23.0
1311.0	22.0
1312.0	24.0
1313.0	7.0
1314.0	8.0
1315.0	11.0
1316.0	10.0
1317.0	7.0
1318.0	29.0
1319.0	41.0
1320.0	12.0
1321.0	7.0
1322.0	25.0
